BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000078.1	BGC0000078.1	Incednine biosynthetic gene cluster	t1pks.oligosaccharide	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000082.1	BGC0000082.1	Kijanimicin biosynthetic gene cluster	t1pks.oligosaccharide	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangineae,Thermomonosporaceae,Actinomadura
BGC0000088.1	BGC0000088.1	Lovastatin biosynthetic gene cluster	other	Others	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000101.1	BGC0000101.1	Monodictyphenone biosynthetic gene cluster	other	Others	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000112.1	BGC0000112.1	Neocarzinostatin biosynthetic gene cluster	t1pks.butyrolactone	Others	Streptomyces carzinostaticus subsp. neocarzinostaticus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000131.1	BGC0000131.1	Pyrrolomycin biosynthetic gene cluster	other	Others	Streptomyces sp. UC 11065	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000141.1	BGC0000141.1	Rubradirin biosynthetic gene cluster	t1pks.aminocoumarin.nrps	Others	Streptomyces achromogenes subsp. rubradiris	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000144.1	BGC0000144.1	Salinomycin biosynthetic gene cluster	t1pks.butyrolactone.nrps	Others	Streptomyces albus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000168.1	BGC0000168.1	Viridicatumtoxin biosynthetic gene cluster	t1pks.terpene	Others	Penicillium aethiopicum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000175.1	BGC0000175.1	Cycloheximide / actiphenol biosynthetic gene cluster	lantipeptide.transatpks	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000182.1	BGC0000182.1	Mupirocin biosynthetic gene cluster	t2pks.transatpks.hserlactone	Others	Pseudomonas fluorescens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000183.1	BGC0000183.1	Paenimacrolidin biosynthetic gene cluster	other	Others	Paenibacillus sp. F6-B70	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
BGC0000187.1	BGC0000187.1	Asukamycin biosynthetic gene cluster	furan	Others	Streptomyces nodosus subsp. asukaensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000188.1	BGC0000188.1	Saxitoxin biosynthetic gene cluster	other	Others	Cylindrospermopsis raciborskii T3	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Cylindrospermopsis
BGC0000189.1	BGC0000189.1	Xenocyloins biosynthetic gene cluster	other	Others	Xenorhabdus bovienii SS-2004	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus
BGC0000193.1	BGC0000193.1	Aclacinomycin biosynthetic gene cluster	other	Others	Streptomyces galilaeus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000199.1	BGC0000199.1	Arimetamycin biosynthetic gene cluster	t2pks.oligosaccharide	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000207.1	BGC0000207.1	Chartreusin biosynthetic gene cluster	other	Others	Streptomyces chartreusis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000210.1	BGC0000210.1	Chromomycin A3 biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000213.1	BGC0000213.1	Colabomycin biosynthetic gene cluster	furan	Others	Streptomyces aureus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000229.1	BGC0000229.1	Grincamycin biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces lusitanus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000238.1	BGC0000238.1	Lactonamycin biosynthetic gene cluster	t2pks.butyrolactone	Others	Streptomyces rishiriensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000239.1	BGC0000239.1	Landomycin biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces cyanogenus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000243.1	BGC0000243.1	Macrotetrolide biosynthetic gene cluster	other	Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000244.1	BGC0000244.1	Macrotetrolide biosynthetic gene cluster	other	Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000247.1	BGC0000247.1	Mithramycin biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces argillaceus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000249.1	BGC0000249.1	Nogalamycin biosynthetic gene cluster	other	Others	Streptomyces nogalater	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000251.1	BGC0000251.1	Nogalamycin biosynthetic gene cluster	other	Others	Streptomyces nogalater	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000258.1	BGC0000258.1	Prodigiosin biosynthetic gene cluster	other	Others	Serratia sp.	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
BGC0000259.1	BGC0000259.1	Prodigiosin biosynthetic gene cluster	other	Others	Serratia marcescens	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
BGC0000260.1	BGC0000260.1	Prodigiosin biosynthetic gene cluster	other	Others	Hahella chejuensis KCTC 2396	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella
BGC0000262.1	BGC0000262.1	Rabelomycin biosynthetic gene cluster	t2pks.oligosaccharide.butyrolactone	Others	Streptomyces sp. PGA64	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000265.1	BGC0000265.1	Rhodomycin biosynthetic gene cluster	other	Others	Streptomyces purpurascens	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000267.1	BGC0000267.1	Saquayamycin Z / galtamycin B biosynthetic gene cluster	t2pks.oligosaccharide	Others	Micromonospora sp. Tu 6368	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000268.1	BGC0000268.1	Sch47554 / Sch47555 biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces sp. SCC 2136	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000270.1	BGC0000270.1	Simocyclinone biosynthetic gene cluster	t2pks.aminocoumarin	Others	Streptomyces antibioticus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000274.1	BGC0000274.1	Tetarimycin biosynthetic gene cluster	t2pks.phenazine	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000276.1	BGC0000276.1	Urdamycin biosynthetic gene cluster	t2pks.oligosaccharide	Others	Streptomyces fradiae	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000278.1	BGC0000278.1	Urdamycin biosynthetic gene cluster	other	Others	Streptomyces fradiae	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000286.1	BGC0000286.1	Viguiepinol biosynthetic gene cluster	other	Others	Streptomyces sp. KO-3988	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000288.1	BGC0000288.1	A-503083 biosynthetic gene cluster	blactam.nrps	Others	Streptomyces sp. SANK 62799	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000293.1	BGC0000293.1	Acetylaszonalenin biosynthetic gene cluster	terpene.nrps	Others	Neosartorya fischeri NRRL 181	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Neosartorya
BGC0000295.1	BGC0000295.1	Acinetoferrin biosynthetic gene cluster	siderophore	Others	Acinetobacter haemolyticus	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
BGC0000318.1	BGC0000318.1	Cephalosporin, cefEFG genes biosynthetic gene cluster	other	Others	Acremonium chrysogenum ATCC 11550	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,mitosporic Hypocreales,Acremonium
BGC0000328.1	BGC0000328.1	Coronatine biosynthetic gene cluster	other	Others	Pseudomonas syringae pv. glycinea	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000329.1	BGC0000329.1	Corpeptin biosynthetic gene cluster	hserlactone.nrps	Others	Pseudomonas corrugata	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000340.1	BGC0000340.1	Echosides biosynthetic gene cluster	other	Others	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000356.1	BGC0000356.1	Fumitremorgin biosynthetic gene cluster	terpene.nrps	Others	Aspergillus fumigatus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000361.1	BGC0000361.1	Gliotoxin biosynthetic gene cluster	other	Others	Aspergillus fumigatus Af293	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000372.1	BGC0000372.1	Hexadehydro-astechrome (HAS) biosynthetic gene cluster	terpene.nrps	Others	Aspergillus fumigatus Af293	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000375.1	BGC0000375.1	Indigoidine biosynthetic gene cluster	other	Others	Streptomyces chromofuscus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000382.1	BGC0000382.1	Lipstatin biosynthetic gene cluster	other	Others	Streptomyces toxytricini	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000385.1	BGC0000385.1	Lysobactin biosynthetic gene cluster	lantipeptide.transatpks.nrps	Others	Lysobacter sp. ATCC 53042	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
BGC0000386.1	BGC0000386.1	Malleobactin biosynthetic gene cluster	other	Others	Burkholderia thailandensis E264	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group
BGC0000387.1	BGC0000387.1	Mangotoxin biosynthetic gene cluster	other	Others	Pseudomonas syringae pv. syringae	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
BGC0000406.1	BGC0000406.1	Phosphinothricin biosynthetic gene cluster	phosphonate.nrps	Others	Streptomyces viridochromogenes	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000420.1	BGC0000420.1	Roquefortine C / meleagrin biosynthetic gene cluster	nrps.terpene	Others	Penicillium rubens Wisconsin 54-1255	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum complex
BGC0000422.1	BGC0000422.1	Saframycin A biosynthetic gene cluster	melanin.nrps	Others	Streptomyces lavendulae	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000427.1	BGC0000427.1	Shinorine biosynthetic gene cluster	other	Others	Anabaena variabilis ATCC 29413	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
BGC0000451.1	BGC0000451.1	Turnerbactin biosynthetic gene cluster	other	Others	Teredinibacter turnerae T7901	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales genera incertae sedis,Teredinibacter
BGC0000459.1	BGC0000459.1	Griseoviridin / viridogrisein biosynthetic gene cluster	butyrolactone.nrps	Others	Streptomyces griseoviridis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000466.1	BGC0000466.1	Yatakemycin biosynthetic gene cluster	other	Others	Streptomyces sp. TP-A2060	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000510.1	BGC0000510.1	Epilancin K7 biosynthetic gene cluster	other	Others	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcus
BGC0000513.1	BGC0000513.1	Erythreapeptin biosynthetic gene cluster	other	Others	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Saccharopolyspora
BGC0000553.1	BGC0000553.1	SRO15-2212 biosynthetic gene cluster	other	Others	Streptomyces roseosporus NRRL 15998	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000567.1	BGC0000567.1	Trifolitoxin biosynthetic gene cluster	other	Others	Rhizobium leguminosarum	Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium
BGC0000568.1	BGC0000568.1	Microcin B17 biosynthetic gene cluster	other	Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000569.1	BGC0000569.1	Plantathiazolicin / plantazolicin biosynthetic gene cluster	other	Others	Bacillus amyloliquefaciens subsp. plantarum str. FZB42	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000570.1	BGC0000570.1	Astexin-1 biosynthetic gene cluster	other	Others	Asticcacaulis excentricus CB 48	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis
BGC0000571.1	BGC0000571.1	Burhizin biosynthetic gene cluster	other	Others	Burkholderia rhizoxinica HKI 454	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
BGC0000573.1	BGC0000573.1	Caulonodin I / caulonodin II biosynthetic gene cluster	other	Others	Caulobacter sp. K31	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
BGC0000574.1	BGC0000574.1	Caulosegnin I / caulosegnin II / caulosegnin III biosynthetic gene cluster	other	Others	Caulobacter segnis ATCC 21756	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
BGC0000575.1	BGC0000575.1	Lariatin biosynthetic gene cluster	other	Others	Rhodococcus jostii	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Nocardiaceae,Rhodococcus
BGC0000576.1	BGC0000576.1	Rubrivinodin biosynthetic gene cluster	other	Others	Rubrivivax gelatinosus IL144	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Rubrivivax
BGC0000577.1	BGC0000577.1	Sphingonodin II biosynthetic gene cluster	other	Others	Sphingobium japonicum UT26S	Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
BGC0000578.1	BGC0000578.1	SRO15-2005 biosynthetic gene cluster	other	Others	Streptomyces roseosporus NRRL 15998	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000579.1	BGC0000579.1	SSV-2083 biosynthetic gene cluster	other	Others	Streptomyces sviceus ATCC 29083	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000580.1	BGC0000580.1	Xanthomonin I / xanthomonin II biosynthetic gene cluster	other	Others	Xanthomonas gardneri ATCC 19865	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
BGC0000584.1	BGC0000584.1	Colicin V biosynthetic gene cluster	other	Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000585.1	BGC0000585.1	Microcin C7 biosynthetic gene cluster	other	Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000586.1	BGC0000586.1	Microcin E492 biosynthetic gene cluster	other	Others	Klebsiella pneumoniae RYC492	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
BGC0000587.1	BGC0000587.1	Microcin H47 biosynthetic gene cluster	other	Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000588.1	BGC0000588.1	Microcin L biosynthetic gene cluster	other	Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000589.1	BGC0000589.1	Microcin M biosynthetic gene cluster	other	Others	Escherichia coli Nissle 1917	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000590.1	BGC0000590.1	Microcin N biosynthetic gene cluster	other	Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000595.1	BGC0000595.1	SCO-2138 biosynthetic gene cluster	other	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000596.1	BGC0000596.1	SLI-2138 biosynthetic gene cluster	other	Others	Streptomyces lividans TK24	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000597.1	BGC0000597.1	SWA-2138 biosynthetic gene cluster	other	Others	Streptomyces sp. e14	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000611.1	BGC0000611.1	Siomycin biosynthetic gene cluster	thiopeptide.terpene	Others	Streptomyces sioyaensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000621.1	BGC0000621.1	Linaclotide biosynthetic gene cluster	other	Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
BGC0000622.1	BGC0000622.1	Megacin biosynthetic gene cluster	other	Others	Bacillus megaterium	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000625.1	BGC0000625.1	Thioviridamide biosynthetic gene cluster	other	Others	Streptomyces olivoviridis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000627.1	BGC0000627.1	Ustiloxin B biosynthetic gene cluster	other	Others	Aspergillus flavus NRRL3357	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000652.1	BGC0000652.1	Napyradiomycin biosynthetic gene cluster	terpene.t3pks	Others	Streptomyces sp. CNQ525	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000655.1	BGC0000655.1	Siomycin biosynthetic gene cluster	thiopeptide.terpene	Others	Streptomyces sioyaensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000662.1	BGC0000662.1	Grixazone biosynthetic gene cluster	melanin	Others	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000665.1	BGC0000665.1	Xiamycin biosynthetic gene cluster	other	Others	Streptomyces sp. HKI0576	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000666.1	BGC0000666.1	Xiamycin biosynthetic gene cluster	other	Others	Streptomyces sp. SCSIO 02999	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000668.1	BGC0000668.1	Welwitindolinone biosynthetic gene cluster	other	Others	Hapalosiphon welwitschii UTEX B 1830	Bacteria,Cyanobacteria,Stigonematales,Hapalosiphon
BGC0000670.1	BGC0000670.1	Thalianol biosynthetic gene cluster	other	Others	Arabidopsis thaliana	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliophyta,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Camelineae,Arabidopsis
BGC0000673.1	BGC0000673.1	Ent-pimara-8(14),15-diene biosynthetic gene cluster	other	Others	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000677.1	BGC0000677.1	Cyclooctatin biosynthetic gene cluster	other	Others	Streptomyces melanosporofaciens	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000679.1	BGC0000679.1	Diazepinomicin biosynthetic gene cluster	other	Others	Micromonospora sp. M42	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000686.1	BGC0000686.1	Helvolic acid biosynthetic gene cluster	other	Others	Aspergillus fumigatus Af293	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000687.1	BGC0000687.1	Phyllocladan-16alpha-ol biosynthetic gene cluster	other	Others	Diaporthe amygdali	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe
BGC0000695.1	BGC0000695.1	Fortimicin biosynthetic gene cluster	other	Others	Micromonospora olivasterospora	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000696.1	BGC0000696.1	Gentamicin biosynthetic gene cluster	lantipeptide.amglyccycl	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000698.1	BGC0000698.1	Hygromycin A biosynthetic gene cluster	other	Others	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
