#BGC Name	Family Number
BGC0002365	2015
BGC0002509	2015
BGC0001047	2024
BGC0001047.1	2024
BGC0001048	2025
BGC0001048.1	2025
BGC0001051	2032
BGC0001051.1	2032
BGC0001052	2033
BGC0001052.1	2033
BGC0001054	2037
BGC0001054.1	2037
BGC0001055	2040
BGC0001055.1	2040
BGC0001057	2043
BGC0001057.1	2043
BGC0001059	2048
BGC0001059.1	2048
BGC0001063	2055
BGC0001066	2061
BGC0001069	2067
BGC0001069.1	2067
BGC0001070	2069
BGC0001070.1	2069
BGC0001071	2072
BGC0001071.1	2072
BGC0001088	2102
BGC0001088.1	2102
BGC0001089	2104
BGC0001089.1	2104
BGC0001091	2108
BGC0001093	2112
BGC0001093.1	2112
BGC0000995	2117
BGC0000995.1	2117
BGC0001096.1	2117
BGC0001090	2119
BGC0001090.1	2119
BGC0001098	2119
BGC0001098.1	2119
BGC0001099	2120
BGC0001099.1	2120
BGC0001101	2124
BGC0001101.1	2124
BGC0001102	2126
BGC0001102.1	2126
BGC0001103	2128
BGC0001103.1	2128
BGC0001105	2131
BGC0001105.1	2131
BGC0001106	2133
BGC0001106.1	2133
BGC0001108	2139
BGC0001108.1	2139
BGC0001109	2139
BGC0001109.1	2139
BGC0001110	2140
BGC0001110.1	2140
BGC0001111	2142
BGC0001111.1	2142
BGC0001112	2144
BGC0001112.1	2144
BGC0001113	2146
BGC0001113.1	2146
BGC0001114	2148
BGC0001114.1	2148
BGC0001115	2150
BGC0001115.1	2150
BGC0001116	2152
BGC0001116.1	2152
BGC0001119	2158
BGC0001122	2162
BGC0001122.1	2162
BGC0001125	2168
BGC0001125.1	2168
BGC0001130.1	2177
BGC0001049	2189
BGC0001049.1	2189
BGC0001136	2189
BGC0001136.1	2189
BGC0001218	2189
BGC0001218.1	2189
BGC0001160	2233
BGC0001161	2239
BGC0001162	2239
BGC0001163	2239
BGC0001164	2241
BGC0001178	2267
BGC0001178.1	2267
BGC0001182	2274
BGC0001182.1	2274
BGC0001187	2284
BGC0001187.1	2284
BGC0001190	2290
BGC0001195	2300
BGC0001195.1	2300
BGC0001202	2314
BGC0001202.1	2314
BGC0001203	2316
BGC0001203.1	2316
BGC0001212	2333
BGC0001212.1	2333
BGC0001215	2339
BGC0001231	2371
BGC0001231.1	2371
BGC0001233	2374
BGC0001233.1	2374
BGC0001235	2377
BGC0001235.1	2377
BGC0001237	2381
BGC0001237.1	2381
BGC0001255	2414
BGC0001255.1	2414
BGC0000064	2437
BGC0000064.1	2437
BGC0001268	2437
BGC0001268.1	2437
BGC0001287	2466
BGC0001290	2472
BGC0001290.1	2472
BGC0001327	2543
BGC0001327.1	2543
BGC0001328	2543
BGC0001328.1	2543
BGC0001329	2544
BGC0001329.1	2544
BGC0001331	2548
BGC0001331.1	2548
BGC0001332	2550
BGC0001332.1	2550
BGC0001342	2570
BGC0001342.1	2570
BGC0001053	2575
BGC0001053.1	2575
BGC0001344	2575
BGC0001344.1	2575
BGC0001236	2591
BGC0001236.1	2591
BGC0001354.1	2591
BGC0001355.1	2591
BGC0001358	2597
BGC0001358.1	2597
BGC0001367	2613
BGC0001367.1	2613
BGC0001381	2641
BGC0001390	2657
BGC0001415	2706
BGC0001415.1	2706
BGC0001418	2717
BGC0001418.1	2717
BGC0001419	2717
BGC0001419.1	2717
BGC0001420	2717
BGC0001420.1	2717
BGC0001421	2719
BGC0001421.1	2719
BGC0001422	2733
BGC0001422.1	2733
BGC0001423	2733
BGC0001423.1	2733
BGC0001424	2733
BGC0001424.1	2733
BGC0001425	2733
BGC0001425.1	2733
BGC0001426	2733
BGC0001426.1	2733
BGC0001427	2733
BGC0001427.1	2733
BGC0001428	2733
BGC0001428.1	2733
BGC0001432	2740
BGC0001432.1	2740
BGC0001435.1	2747
BGC0001436	2748
BGC0001443	2762
BGC0001443.1	2762
BGC0001445	2766
BGC0001445.1	2766
BGC0001449	2774
BGC0001449.1	2774
BGC0001457	2789
BGC0001457.1	2789
BGC0001461	2799
BGC0001461.1	2799
BGC0001462	2799
BGC0001462.1	2799
BGC0001467	2808
BGC0001467.1	2808
BGC0001477	2828
BGC0001477.1	2828
BGC0001491	2854
BGC0001503	2877
BGC0001503.1	2877
BGC0001519	2909
BGC0001519.1	2909
BGC0001543	2955
BGC0001544	2957
BGC0001553	2975
BGC0001553.1	2975
BGC0002434	2975
BGC0001556	2980
BGC0001556.1	2980
BGC0000974	2986
BGC0000974.1	2986
BGC0001559.1	2986
BGC0001560	2987
BGC0001560.1	2987
BGC0001564	2995
BGC0001564.1	2995
BGC0000334	2998
BGC0001565	2998
BGC0001565.1	2998
BGC0000965	3035
BGC0000965.1	3035
BGC0001397	3035
BGC0001397.1	3035
BGC0001584	3035
BGC0001584.1	3035
BGC0001598.1	3063
BGC0001600	3066
BGC0001611	3088
BGC0001626	3117
BGC0001630	3125
BGC0001630.1	3125
BGC0001631	3128
BGC0001631.1	3128
BGC0001635	3136
BGC0001635.1	3136
BGC0001647	3158
BGC0001656	3176
BGC0001666	3196
BGC0001016	3199
BGC0001016.1	3199
BGC0001017	3199
BGC0001017.1	3199
BGC0001667	3199
BGC0001667.1	3199
BGC0001695	3247
BGC0001695.1	3247
BGC0001919	3247
BGC0001919.1	3247
BGC0001702	3259
BGC0001702.1	3259
BGC0001703	3261
BGC0001703.1	3261
BGC0001704	3263
BGC0001704.1	3263
BGC0002597	3263
BGC0001711	3276
BGC0001711.1	3276
BGC0001724	3301
BGC0001724.1	3301
BGC0001726	3305
BGC0001726.1	3305
BGC0001728	3310
BGC0001728.1	3310
BGC0001993.1	3310
BGC0001394	3327
BGC0001394.1	3327
BGC0001737	3327
BGC0001737.1	3327
BGC0001738	3328
BGC0001738.1	3328
BGC0001740	3332
BGC0001740.1	3332
BGC0001741	3334
BGC0001741.1	3334
BGC0001750	3350
BGC0001750.1	3350
BGC0001751	3352
BGC0001751.1	3352
BGC0001363	3358
BGC0001363.1	3358
BGC0001754.1	3358
BGC0001620.1	3376
BGC0001763.1	3376
BGC0001230	3381
BGC0001230.1	3381
BGC0001766.1	3381
BGC0001772	3392
BGC0001780	3408
BGC0001780.1	3408
BGC0001785	3418
BGC0001793	3434
BGC0001794	3436
BGC0001807	3458
BGC0001807.1	3458
BGC0001813	3470
BGC0001816	3475
BGC0001816.1	3475
BGC0001819	3481
BGC0001823	3488
BGC0001845	3529
BGC0001853	3544
BGC0001856	3547
BGC0001856.1	3547
BGC0001857	3550
BGC0001857.1	3550
BGC0001978.1	3550
BGC0001876	3584
BGC0001876.1	3584
BGC0001881	3591
BGC0001881.1	3591
BGC0001982.1	3591
BGC0001884	3596
BGC0001884.1	3596
BGC0001885	3598
BGC0001885.1	3598
BGC0001902	3629
BGC0001902.1	3629
BGC0001918	3656
BGC0001918.1	3656
BGC0001923	3665
BGC0001923.1	3665
BGC0001941	3696
BGC0001941.1	3696
BGC0001950	3711
BGC0001950.1	3711
BGC0001951	3711
BGC0001951.1	3711
BGC0001952	3718
BGC0001952.1	3718
BGC0001953	3718
BGC0001953.1	3718
BGC0001956	3724
BGC0001956.1	3724
BGC0002479	3724
BGC0001957	3727
BGC0001957.1	3727
BGC0001958.1	3727
BGC0002054	3727
BGC0001963	3736
BGC0001963.1	3736
BGC0001966	3741
BGC0001966.1	3741
BGC0001970	3751
BGC0001970.1	3751
BGC0001971	3751
BGC0001971.1	3751
BGC0002001	3804
BGC0002001.1	3804
BGC0002009	3819
BGC0002011	3824
BGC0002011.1	3824
BGC0002025	3849
BGC0002025.1	3849
BGC0002026	3851
BGC0002026.1	3851
BGC0002035	3866
BGC0002035.1	3866
BGC0002046	3878
BGC0002050	3882
BGC0002055	3888
BGC0002055.1	3888
BGC0002056.1	3890
BGC0002057.1	3891
BGC0001028	3895
BGC0001028.1	3895
BGC0002061	3895
BGC0002066	3899
BGC0002067	3900
BGC0002082	3914
BGC0002090	3922
BGC0002093	3925
BGC0002104	3935
BGC0002107	3938
BGC0002114	3943
BGC0002118	3947
BGC0002119	3947
BGC0002131	3959
BGC0002169	3993
BGC0002186	4006
BGC0002188	4008
BGC0002197	4016
BGC0002203	4019
BGC0002259	4019
BGC0002204	4020
BGC0002205	4021
BGC0002209	4025
BGC0002210	4026
BGC0002212	4028
BGC0002230	4046
BGC0002235	4050
BGC0002239	4054
BGC0001563	4061
BGC0001563.1	4061
BGC0002250	4061
BGC0002268	4075
BGC0002270	4076
BGC0002171	4081
BGC0002275	4081
BGC0002296	4098
BGC0002304	4105
BGC0002314	4114
BGC0002342	4141
BGC0002344	4143
BGC0000963	4149
BGC0000963.1	4149
BGC0002350	4149
BGC0002386	4182
BGC0002411	4206
BGC0002416	4211
BGC0002417	4212
BGC0002420	4212
BGC0002418	4213
BGC0002419	4214
BGC0002451	4246
BGC0002453	4248
BGC0002454	4249
BGC0002456	4251
BGC0002480	4273
BGC0002505	4297
BGC0002520	4308
BGC0002532	4320
BGC0002533	4321
BGC0002613	4321
BGC0002538	4325
BGC0002539	4326
BGC0000108	4327
BGC0000125	4327
BGC0001690	4327
BGC0002540	4327
BGC0002542	4329
BGC0002546	4333
BGC0002552	4338
BGC0002570	4355
BGC0002605	4382
BGC0002606	4382
BGC0002623	4400
BGC0002624	4401
BGC0002625	4402
BGC0002649	4425
BGC0002671	4443
BGC0002677	4449
BGC0002687	4458
BGC0002697	4468
BGC0002715	4484
BGC0002734	4498
BGC0002735	4499
BGC0002749	4504
