PF19546	211,75,59
PF00562	95,211,99
PF04560	69,223,93
PF04997	50,106,192
PF00623	172,220,62
PF04983	197,80,86
PF05000	151,181,67
PF04998	113,101,208
PF00164	201,182,95
PF00177	77,213,194
PF00338	160,196,82
PF00297	73,139,190
PF00573	188,61,116
PF00276	111,210,91
PF00181	198,222,81
PF03947	228,113,180
PF00203	207,122,81
PF00237	90,165,210
PF07650	173,57,189
PF00189	217,103,195
PF00252	76,90,197
PF00831	140,217,81
PF00366	178,99,73
PF00238	120,79,193
PF17136	96,185,53
PF00281	120,51,204
PF00673	182,221,96
PF00253	52,61,191
PF00410	133,213,83
PF00347	63,73,181
PF00861	156,213,72
PF00333	135,224,82
PF03719	211,113,68
PF00327	54,119,191
PF00828	183,132,53
PF00344	95,81,212
PF00406	188,181,74
PF01176	205,72,209
PF00444	185,179,69
PF00416	214,117,102
PF00411	59,116,181
PF00163	222,84,78
PF01000	168,194,78
PF03118	113,202,72
PF01196	140,206,78
PF02361	214,102,95
PF01416	138,81,196
PF00572	94,196,87
PF00380	81,58,178
PF01520	48,100,188
PF00155	84,225,95
PF03477	129,94,198
PF13597	153,83,179
PF13353	95,179,218
PF19293	103,207,66
PF07949	96,215,126
PF01515	206,90,227
PF00871	122,56,216
PF12838	219,110,78
PF01855	214,177,77
PF17147	191,90,148
PF02775	92,68,211
PF01558	178,103,57
PF02878	88,66,181
PF02879	103,58,213
PF02880	134,76,183
PF00408	203,78,79
PF13522	56,210,94
PF01380	188,140,67
PF00581	65,182,113
PF08680	81,189,173
PF00275	181,62,122
PF08486	185,70,103
PF01551	112,98,205
PF12116	86,93,192
PF07977	104,85,199
PF06866	71,202,138
PF00438	164,102,210
PF02772	218,195,82
PF02773	102,224,111
PF14520	188,47,98
PF14490	184,95,77
PF13245	211,80,106
PF18335	180,100,78
PF13538	201,170,84
PF18912	217,78,147
PF05043	91,211,128
PF02255	211,216,91
PF02378	152,85,196
PF07355	186,65,73
PF01112	144,215,68
PF01546	65,171,218
PF03932	196,158,61
PF02482	110,78,200
PF16321	88,182,159
PF07517	129,218,101
PF21090	161,71,197
PF07516	123,63,186
PF02810	77,61,184
PF03462	65,198,182
PF00472	216,91,200
PF09371	73,202,191
PF16921	120,223,60
PF12836	178,208,83
PF17674	185,74,176
PF00575	184,177,87
PF12822	107,66,196
PF13475	198,99,142
PF02367	166,187,50
PF00814	47,167,183
PF18671	85,71,225
PF18524	65,92,216
PF04397	192,99,53
PF13520	121,221,98
PF16326	68,83,200
PF12848	131,88,209
PF06971	97,219,129
PF02629	129,197,74
PF02663	117,77,220
PF01258	87,165,225
PF09587	97,226,110
PF03063	64,113,184
PF13247	78,104,182
PF18267	132,222,62
PF02353	198,194,80
PF02812	90,102,222
PF00208	69,92,200
PF05569	148,96,211
PF21398	67,201,94
PF00877	129,66,188
PF02729	117,82,190
PF00185	204,98,139
PF10418	146,225,89
PF01180	60,104,179
PF00156	185,88,50
PF02558	202,174,79
PF08546	184,201,80
PF03601	59,201,59
PF07934	209,214,79
PF00730	198,85,91
PF13396	194,93,170
PF13091	210,200,74
PF00166	144,55,215
PF00118	178,52,194
PF00731	193,78,95
PF01969	196,58,185
PF00117	97,206,174
PF00958	203,106,77
PF17755	133,190,70
PF01841	100,227,137
PF00990	60,188,114
PF00563	88,176,182
PF08013	181,84,222
PF13419	52,124,206
PF07875	205,89,222
PF00881	52,150,191
PF00551	59,217,160
PF02142	87,213,99
PF01808	62,179,64
PF04321	82,117,223
PF00483	215,75,106
PF00908	225,65,129
PF16363	80,212,146
PF01464	97,205,101
PF03885	80,161,196
PF01052	103,96,200
PF04316	89,174,210
PF05130	159,70,210
PF00460	72,59,198
PF06429	224,56,112
PF00669	105,221,89
PF02623	53,149,198
PF02599	84,78,200
PF02561	181,67,99
PF02465	218,146,103
PF07196	127,223,105
PF07195	87,228,149
PF05400	195,77,89
PF00700	184,96,74
PF00535	220,94,100
PF13489	94,191,62
PF13712	197,54,132
PF02388	188,89,154
PF13535	105,195,90
PF05523	193,168,80
PF01041	70,179,115
PF02049	51,198,132
PF01514	84,180,176
PF08345	210,66,215
PF14842	53,91,204
PF14841	179,139,62
PF01706	78,212,152
PF02108	115,193,72
PF02874	70,225,204
PF00006	47,156,181
PF18269	191,73,115
PF02050	61,224,166
PF02120	207,74,76
PF03963	214,129,90
PF06289	134,61,186
PF01618	207,214,77
PF13677	81,180,204
PF00691	68,166,212
PF03748	124,195,79
PF00813	161,222,95
PF01313	207,209,86
PF01311	165,79,197
PF01312	192,84,170
PF00771	65,187,162
PF00448	221,229,112
PF10609	213,73,220
PF02154	71,97,215
PF13174	152,224,110
PF13589	104,222,224
PF00183	204,229,66
PF00465	211,176,84
PF20903	106,197,225
PF14526	65,59,205
PF12663	58,203,188
PF01638	150,67,222
PF01243	60,188,92
PF02811	192,77,183
PF03830	196,55,133
PF03609	53,213,116
PF03613	95,72,201
PF14196	195,56,202
PF13732	64,204,183
PF12679	93,227,139
PF04015	95,223,77
PF06968	217,133,96
PF00294	99,217,224
PF13407	81,58,214
PF07090	113,217,76
PF00440	181,221,56
PF14278	198,131,82
PF13673	122,72,227
PF18937	63,181,211
PF12710	217,82,60
PF00403	190,66,205
PF00122	226,57,215
PF00702	179,92,80
PF09335	225,92,159
PF12730	86,204,71
PF00512	90,209,91
PF12728	187,75,124
PF07728	92,200,180
PF01891	133,85,215
PF02553	54,159,181
PF00580	94,66,204
PF13361	222,210,92
PF21196	80,209,80
PF02127	112,102,228
PF01734	71,181,143
PF00160	226,59,180
PF02833	189,49,79
PF01368	75,181,174
PF00171	137,69,213
PF14689	172,190,68
PF14501	77,154,214
PF13569	198,51,143
PF18991	145,204,54
PF03692	214,72,174
PF00753	228,220,106
PF04607	135,215,78
PF13679	202,68,81
PF06941	72,93,223
PF04414	82,185,141
PF00892	180,97,81
PF00367	173,196,84
PF00358	199,66,151
PF00232	97,90,222
PF03123	160,73,226
PF07155	94,169,224
PF02826	214,132,63
PF02515	91,85,198
PF13426	201,164,85
PF02954	108,106,227
PF01116	187,125,74
PF08921	108,205,63
PF14020	118,86,227
PF04122	80,102,203
PF13333	84,208,84
PF00665	192,129,58
PF13276	84,143,190
PF13518	224,148,76
PF19328	87,69,194
PF16552	226,186,92
PF09043	160,54,202
PF16554	81,105,221
PF02310	126,211,95
PF13941	78,224,226
PF01168	71,202,189
PF03553	215,116,83
PF06445	80,179,98
PF00905	203,59,103
PF01797	87,59,218
PF01418	66,201,211
PF00128	100,221,182
PF03965	89,202,146
PF03358	199,92,96
PF01047	96,151,214
PF13187	105,131,217
PF03167	102,218,145
PF00672	171,179,77
PF01066	74,220,201
PF00893	207,101,88
PF08240	226,94,173
PF00107	201,85,68
PF07554	114,96,196
PF07943	53,140,196
PF00768	193,81,171
PF06738	95,219,161
PF12821	222,223,81
PF13493	96,214,170
PF03806	197,68,150
PF07687	158,68,193
PF11299	79,194,138
PF04509	92,120,220
PF03975	84,226,77
PF01584	118,219,106
PF12729	45,179,148
PF00015	201,127,79
PF01627	209,93,171
PF07194	205,62,97
PF02895	71,97,205
PF03705	164,88,214
PF01739	87,76,181
PF01339	167,195,83
PF13739	178,170,45
PF11738	90,212,88
PF06161	50,117,192
PF01471	152,198,94
PF13367	197,76,99
PF17125	225,179,67
PF01189	184,66,209
PF17126	123,179,58
PF13636	193,93,118
PF10502	120,104,214
PF01261	228,145,104
PF00485	218,189,55
PF12840	141,200,71
PF00248	120,196,84
PF13534	77,106,221
PF05866	188,134,79
PF08331	110,183,227
PF13484	100,73,208
PF20437	88,89,196
PF13654	192,177,63
PF20436	65,188,177
PF05362	95,143,208
PF10576	187,79,106
PF02608	207,190,99
PF21778	48,182,67
PF08812	186,154,91
PF04286	95,227,173
PF02824	143,209,56
PF07973	151,187,75
PF12784	215,87,117
PF13349	89,151,189
PF17932	80,189,56
PF01326	198,179,59
PF00391	128,202,75
PF19605	187,65,73
PF01507	212,67,123
PF11922	179,170,76
PF11007	120,70,192
PF12652	55,199,61
PF05067	210,173,86
PF02870	77,141,214
PF01035	177,182,54
PF12675	173,61,198
PF04229	112,76,186
PF00654	111,207,52
PF02080	73,220,133
PF13411	85,198,116
PF11148	163,215,65
PF07872	113,70,206
PF08765	208,102,61
PF09524	186,208,62
PF00772	61,208,111
PF03796	103,206,67
PF14697	228,164,90
PF12801	95,208,190
PF08713	185,156,91
PF00561	186,48,143
PF13508	92,137,196
PF12952	179,54,129
PF02661	199,160,89
PF00392	118,87,179
PF07729	58,166,180
PF00326	193,66,123
PF13346	200,53,158
PF00999	93,107,205
PF08281	72,201,62
PF12918	98,228,225
PF12919	64,212,196
PF11713	97,224,138
PF12920	98,181,228
PF01473	78,199,200
PF19127	85,187,151
PF05105	109,50,179
PF11731	152,217,79
PF01784	73,181,132
PF08241	51,50,197
PF16481	218,105,81
PF07969	95,120,208
PF07366	210,86,150
PF00474	75,46,183
PF05198	223,101,188
PF00707	223,62,160
PF01632	53,119,193
PF00453	76,183,171
PF00106	190,86,183
PF02386	78,188,168
PF02254	123,75,205
PF02912	222,215,97
PF01409	203,129,58
PF03483	178,81,136
PF03484	200,55,139
PF17759	78,214,223
PF03147	218,65,93
PF05164	183,190,91
PF06912	72,163,180
PF01136	92,146,188
PF12392	71,210,136
PF01966	94,213,154
PF00293	214,228,112
PF00497	47,57,187
PF00488	100,163,203
PF20297	191,89,71
PF01713	112,199,91
PF04463	101,121,206
PF03485	220,189,92
PF00750	70,191,122
PF05746	218,58,58
PF13311	91,117,206
PF13181	208,197,66
PF07719	223,70,218
PF01656	227,147,63
PF01268	99,221,213
PF04961	89,147,209
PF00763	178,77,81
PF02882	131,205,81
PF12225	180,112,76
PF02219	108,165,225
PF03599	101,195,226
PF04060	175,54,212
PF00809	210,217,104
PF18537	224,122,95
PF03598	107,181,68
PF19436	193,79,228
PF01597	196,54,59
PF00111	137,221,96
PF17650	176,55,216
PF17651	64,162,186
PF14574	188,52,111
PF10133	193,148,86
PF12953	91,146,203
PF14133	200,131,62
PF00370	195,92,194
PF02782	148,218,101
PF04346	151,225,94
PF00455	211,204,102
PF20560	170,223,91
PF02926	79,186,76
PF02568	191,169,66
PF07963	89,183,163
PF18223	60,105,179
PF08447	142,95,201
PF01699	99,216,166
PF00270	87,181,68
PF00271	215,95,90
PF03880	182,73,195
PF06923	197,75,220
PF03608	64,206,61
PF03612	210,61,60
PF07663	198,82,140
PF03829	186,82,142
PF04879	100,158,210
PF00384	83,189,133
PF01568	65,95,206
PF03862	109,99,201
PF07451	185,132,85
PF06675	208,199,97
PF00383	143,181,60
PF00912	56,178,76
PF09560	228,136,104
PF05580	196,73,229
PF04071	133,104,217
PF13167	97,201,194
PF16360	62,219,223
PF01926	124,218,88
PF13646	157,87,188
PF01205	103,206,97
PF09186	169,80,196
PF01925	100,71,203
PF20772	133,220,109
PF01709	74,122,205
PF03600	206,75,65
PF02447	179,81,175
PF00258	84,216,117
PF00582	213,209,83
PF02915	87,185,78
PF21349	90,201,198
PF01475	211,103,58
PF06397	147,58,186
PF01880	79,128,194
PF00301	183,210,88
PF01645	78,64,186
PF00330	81,211,64
PF00694	85,72,188
PF00180	107,212,228
PF01557	198,53,212
PF13439	216,103,226
PF00534	169,223,78
PF19848	204,108,86
PF19677	63,186,145
PF01106	111,204,79
PF03188	88,188,59
PF01978	200,160,65
PF02056	191,53,72
PF11975	195,84,175
PF01661	83,182,55
PF12146	228,218,68
PF12727	196,77,161
PF13531	79,181,205
PF12464	197,224,85
PF00132	84,46,184
PF04392	61,67,215
PF03853	66,112,181
PF01256	99,214,106
PF01957	224,166,69
PF01145	143,78,221
PF08323	58,187,79
PF00343	183,93,188
PF01276	66,50,190
PF03711	112,179,53
PF02675	76,196,81
PF17284	192,215,91
PF01564	159,96,214
PF00313	94,125,221
PF00037	88,205,213
PF02906	179,109,59
PF20092	74,229,173
PF08903	220,79,201
PF20921	225,108,71
PF11798	158,208,61
PF00571	95,100,214
PF04069	72,221,216
PF01545	56,99,193
PF16916	222,97,157
PF13183	91,183,171
PF19558	221,101,147
PF01040	57,72,178
PF06695	200,103,210
PF08502	166,196,51
PF03061	117,213,105
PF06245	210,149,102
PF02743	220,184,56
PF09084	74,217,161
PF04073	99,141,212
PF05681	75,164,228
PF05683	178,100,226
PF00390	154,211,52
PF03949	65,169,217
PF12704	227,84,63
PF17783	195,75,151
PF13509	211,96,212
PF07702	217,111,76
PF01182	183,70,82
PF09359	84,148,196
PF16316	54,205,95
PF08757	73,85,224
PF10096	86,80,180
PF13641	198,142,97
PF03170	189,85,52
PF02350	81,183,52
PF01832	156,77,179
PF21465	219,156,82
PF12705	141,209,96
PF21445	188,69,98
PF12320	86,186,119
PF13476	79,194,152
PF13558	214,84,130
PF01595	188,183,87
PF03471	225,96,69
PF01594	59,117,201
PF12850	68,180,48
PF20143	192,221,65
PF01513	62,186,55
PF00108	199,63,95
PF02803	208,92,208
PF04245	159,111,228
PF05979	75,102,212
PF03437	87,137,182
PF03453	203,64,207
PF00994	59,121,228
PF03205	182,70,81
PF02535	226,109,192
PF11193	69,215,106
PF14512	220,66,196
PF16822	143,57,179
PF03062	59,218,180
PF02739	116,63,208
PF01367	78,184,96
PF01612	100,60,227
PF00476	134,220,69
PF01121	59,189,156
PF02545	212,201,57
PF20582	69,112,186
PF04002	95,203,151
PF04085	188,56,107
PF04093	188,81,178
PF03717	190,120,77
PF03775	198,96,165
PF13614	144,62,210
PF03776	81,185,132
PF01098	171,63,198
PF19583	50,132,186
PF19864	101,197,227
PF10105	59,73,200
PF10150	172,182,60
PF00829	88,143,205
PF04327	95,211,178
PF01016	198,102,207
PF01018	83,198,81
PF09269	196,60,133
PF01985	93,176,222
PF03447	175,209,86
PF00742	121,194,68
PF09861	101,223,138
PF21113	207,224,71
PF01565	120,210,91
PF02913	199,80,112
PF05636	71,186,88
PF02504	215,95,127
PF08545	74,209,121
PF08541	166,221,100
PF03060	79,75,199
PF00698	66,54,183
PF00109	218,95,170
PF02801	78,188,77
PF12637	227,94,108
PF07722	219,59,143
PF06874	184,76,160
PF19568	218,82,105
PF09548	110,209,53
PF06686	155,93,220
PF09546	59,217,158
PF09581	65,193,162
PF12685	59,80,228
PF03780	98,200,159
PF01029	91,134,198
PF13742	224,66,57
PF02601	58,87,193
PF02609	200,211,61
PF00348	194,63,105
PF02681	59,108,210
PF13292	225,133,76
PF01728	131,211,90
PF08769	95,126,194
PF04263	89,109,209
PF12555	182,48,161
PF11382	69,131,195
PF12982	208,97,156
PF01944	190,111,51
PF01676	218,109,62
PF01048	65,224,159
PF02885	93,52,185
PF00591	219,109,140
PF07831	67,219,107
PF01596	49,183,125
PF16325	119,217,71
PF07508	129,215,60
PF00515	182,52,116
PF13431	63,63,196
PF03413	73,206,163
PF04892	180,82,159
PF08207	83,187,191
PF01132	137,54,181
PF09285	92,66,184
PF14622	208,174,90
PF00035	210,143,86
PF16199	169,222,89
PF02881	209,78,159
PF04297	149,62,204
PF02978	84,189,73
PF00886	95,64,198
PF13083	226,151,61
PF01782	185,50,189
PF05239	70,115,222
PF01746	56,184,65
PF01245	139,59,198
PF05525	182,119,46
PF02867	226,169,63
PF01351	206,115,86
PF01070	218,104,167
PF21095	144,195,82
PF02559	128,98,198
PF12698	161,96,215
PF02021	191,93,146
PF01078	74,68,214
PF13335	225,80,153
PF02481	162,62,207
PF01131	187,72,92
PF01396	208,184,93
PF06018	96,217,203
PF08222	117,65,199
PF16193	180,197,52
PF12002	173,223,102
PF12746	72,180,163
PF02082	215,54,84
PF01592	84,132,189
PF01411	192,90,181
PF02272	213,97,77
PF06135	99,180,201
PF03652	206,95,151
PF06949	198,122,97
PF04307	77,228,222
PF07521	185,78,129
PF17770	67,196,110
PF09391	191,207,64
PF02616	80,93,196
PF04079	128,80,220
PF11167	92,86,198
PF02789	190,71,102
PF00883	68,221,173
PF14808	203,112,51
PF03819	71,89,186
PF02146	198,82,161
PF14480	226,210,94
PF11490	176,203,79
PF00929	53,144,209
PF07733	181,57,140
PF17657	77,224,161
PF14579	153,215,74
PF02576	205,81,94
PF17384	182,153,79
PF08529	214,92,163
PF13184	186,207,97
PF04296	213,81,105
PF01248	222,71,224
PF04760	228,189,59
PF11987	201,173,75
PF02033	193,105,88
PF01509	113,212,87
PF16198	199,62,187
PF06574	90,141,186
PF01687	79,194,109
PF00312	177,217,96
PF01138	215,74,155
PF03725	178,205,85
PF03726	70,204,202
PF00013	56,190,116
PF01522	100,229,127
PF00675	219,193,68
PF05193	131,61,226
PF00696	221,59,131
PF13840	68,187,152
PF00574	227,178,73
PF17854	195,90,229
PF01580	108,191,70
PF09397	153,81,226
PF18693	86,226,65
PF00154	192,118,56
PF21096	207,58,129
PF12072	78,215,166
PF02673	180,90,196
PF00206	63,214,135
PF10397	202,91,56
PF01087	191,134,71
PF03372	198,189,79
PF00120	146,63,179
PF08006	215,73,190
PF08543	105,225,128
PF12671	86,58,181
PF00639	137,84,195
PF20765	75,229,146
PF04984	111,59,208
PF17482	105,226,98
PF09393	92,219,193
PF08890	58,181,169
PF21821	218,78,56
PF10844	190,192,82
PF10934	218,56,97
PF04865	220,93,196
PF10076	132,66,197
PF12571	64,223,113
PF00415	164,62,183
PF13540	176,65,190
PF12844	79,123,192
PF03746	71,115,221
PF02682	195,58,49
PF02626	76,105,183
PF02746	205,166,59
PF13378	75,95,205
PF05684	74,215,96
PF02129	75,182,138
PF08530	211,139,104
PF01042	124,97,207
PF02894	139,53,187
PF04951	178,93,45
PF01980	180,67,194
PF02016	61,170,199
PF17676	128,226,74
PF12983	77,172,217
PF00857	201,52,186
PF03009	63,194,103
PF03169	221,61,206
PF13539	114,218,71
PF07478	99,113,201
PF01820	71,132,225
PF18146	64,201,206
PF02464	45,178,56
PF00882	83,198,99
PF03729	51,116,180
PF04657	158,76,223
PF01902	142,221,108
PF02308	221,56,170
PF13307	106,148,218
PF01693	174,213,100
PF00075	216,104,228
PF00704	57,156,225
PF10417	63,208,109
PF00578	104,223,102
PF12229	221,69,124
PF04294	55,136,186
PF07501	80,80,213
PF03788	142,68,180
PF04172	93,95,222
PF02588	188,60,122
PF10035	228,114,165
PF02493	58,137,213
PF14504	74,123,190
PF01063	68,218,114
PF01227	152,217,69
PF02152	192,56,119
PF01288	201,91,82
PF00793	213,55,133
PF08275	179,116,60
PF13155	67,181,113
PF10410	180,58,154
PF03979	213,54,79
PF00140	85,151,183
PF12847	213,102,99
PF12900	212,87,129
PF19124	178,56,194
PF07853	108,71,179
PF00144	111,70,209
PF01738	75,184,83
PF04023	183,83,125
PF02421	212,182,88
PF17910	88,83,221
PF07670	96,137,219
PF07664	212,84,95
PF12669	88,193,55
PF12672	181,144,76
PF19694	89,188,211
PF09383	180,193,90
PF03180	55,209,128
PF02245	196,77,91
PF03807	205,228,88
PF14748	213,75,197
PF06207	82,156,194
PF13588	86,180,80
PF03023	218,87,198
PF01791	221,102,78
PF08534	215,87,168
PF02589	89,210,213
PF11155	177,46,182
PF02569	99,201,228
PF02548	199,166,65
PF10728	102,192,81
PF09991	110,82,209
PF00579	225,215,68
PF13533	100,80,226
PF01019	75,194,120
PF00175	47,181,45
PF14691	183,129,84
PF02525	144,74,178
PF03006	70,193,219
PF13393	162,185,91
PF01634	115,65,181
PF00475	227,85,183
PF00977	226,98,227
PF01503	191,97,80
PF13624	96,184,59
PF13616	96,116,227
PF02625	105,201,60
PF13478	131,88,215
PF01863	74,182,133
PF13710	163,210,79
PF07991	184,64,179
PF01450	116,185,81
PF02776	225,132,94
PF00205	173,60,198
PF14659	70,226,62
PF14657	222,81,115
PF08797	210,69,101
PF07804	151,178,48
PF06114	87,228,118
PF02498	67,55,193
PF10543	93,202,91
PF10926	57,127,206
PF10991	137,202,92
PF00176	213,57,73
PF04466	202,223,70
PF17288	58,221,131
PF05133	228,91,214
PF04233	202,70,226
PF06810	95,196,198
PF04883	208,171,56
PF17481	176,77,218
PF11611	50,191,53
PF14471	104,211,186
PF09851	207,178,88
PF20155	162,63,204
PF01476	193,69,206
PF16079	54,174,180
PF07751	148,81,206
PF03190	49,182,106
PF12802	85,154,209
PF03990	224,82,139
PF06725	83,125,197
PF13472	214,140,88
PF03631	185,156,60
PF08448	166,68,178
