BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000478.1	BGC0000478.1	Patellin 6 / trunkamide biosynthetic gene cluster	bacteriocin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron,environmental samples
BGC0000479	BGC0000479	Planktothrix agardhii NIES-596 prenylagaramide gene cluster, complete sequence	cyanobactin	RiPPs	Planktothrix agardhii NIES-596	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000479.1	BGC0000479.1	Prenylagaramide B / prenylagaramide C biosynthetic gene cluster	cyanobactin	RiPPs	Planktothrix agardhii NIES-596	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Planktothrix
BGC0000480	BGC0000480	Nostoc spongiaeforme var. tenue str. Carmeli TenA (tenA), TenB (tenB), TenC (tenC), TenD (tenD), TenE (tenE), and TenF (tenF) genes, complete cds; and TenG (tenG) gene, partial cds	cyanobactin	RiPPs	Nostoc spongiaeforme var. tenue str. Carmeli	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0000480.1	BGC0000480.1	Tenuecyclamide A / tenuecyclamide C biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	Nostoc spongiaeforme var. tenue str. Carmeli	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0000481	BGC0000481	Trichodesmium erythraeum IMS101 ctg418, whole genome shotgun sequence	cyanobactin.RRE-containing	RiPPs	Trichodesmium erythraeum IMS101	Bacteria,Cyanobacteria,Oscillatoriales,Trichodesmium
BGC0000481.1	BGC0000481.1	Trichamide biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	Trichodesmium erythraeum IMS101	Bacteria,Cyanobacteria,Oscillatoriales,Trichodesmium
BGC0000482	BGC0000482	Uncultured Prochloron sp. TruE3 (truE3) gene, complete cds	cyanobactin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
BGC0000482.1	BGC0000482.1	Trunkamide biosynthetic gene cluster	bacteriocin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron,environmental samples
BGC0000483	BGC0000483	Microcystis aeruginosa 9432 WGS project CAIH01000000 data, contig AAI_A_2195_263, whole genome shotgun sequence	cyanobactin	RiPPs	Microcystis aeruginosa PCC 9432	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000483.1	BGC0000483.1	Aeruginosamide biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	Microcystis aeruginosa PCC 9432	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000484	BGC0000484	Lactobacillus plantarum strain KW30 hypothetical protein (gccI), hypothetical protein (gccH), UDP-GlcNAc glycosyltransferase family 2 (gccA), bacteriocin ABC transporter of glycocin F (gccB), hypothetical protein (gccC), hypothetical protein (gccD), putative LytTR response regulator (gccE), and prebacteriocin glycocin F (gccF) genes, complete cds	glycocin	RiPPs	Lactiplantibacillus plantarum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
BGC0000484.1	BGC0000484.1	Glycocin F biosynthetic gene cluster	glycocin	RiPPs	Lactobacillus plantarum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000485	BGC0000485	L.acidophilus acdB gene for acidocin B	RiPP-like	RiPPs	Lactobacillus acidophilus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000485.1	BGC0000485.1	Acidocin B biosynthetic gene cluster	bacteriocin	RiPPs	Lactobacillus acidophilus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000486	BGC0000486	Butyrivibrio fibrisolvens response regulator-like protein and histidine kinase-like protein genes, complete cds; butyrivibriocin AR10 operon, complete sequence; and unknown gene	RiPP-like	RiPPs	Butyrivibrio fibrisolvens	Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio
BGC0000486.1	BGC0000486.1	Butyrivibriocin AR10 biosynthetic gene cluster	bacteriocin	RiPPs	Butyrivibrio fibrisolvens	Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
BGC0000487	BGC0000487	Carnobacterium maltaromaticum strain UAL307 hypothetical proteins, CclB (cclB), CclI (cclI), CclT (cclT), CclC (cclC), CclD (cclD), carnocyclin A precursor (cclA), CclE (cclE), CclF (cclF), CclG (cclG), CclH (cclH), hypothetical proteins, and TrxA (trxA) genes, complete cds	RiPP-like	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0000487.1	BGC0000487.1	Carnocyclin biosynthetic gene cluster	bacteriocin	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0000488	BGC0000488	Clostridium beijerinckii cfgR gene, cfgK gene, cfg02 gene, cfg01 gene, cirA gene, cirB gene, cirC gene, cirD gene, cirE gene, cirG gene, cirH gene and cirI gene, genomic RNA, strain ATCC 25752	cyclic-lactone-autoinducer.RiPP-like	RiPPs	Clostridium beijerinckii	Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
BGC0000488.1	BGC0000488.1	Circularin A biosynthetic gene cluster	bacteriocin	RiPPs	Clostridium beijerinckii	Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
BGC0000489	BGC0000489	E.faecalis plasmid DNA containing gene cluster involved in production and immunity to peptide antibiotic AS-48	RiPP-like	RiPPs	Enterococcus faecalis subsp. liquefaciens	Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
BGC0000489.1	BGC0000489.1	Enterocin AS-48 biosynthetic gene cluster	bacteriocin	RiPPs	Enterococcus faecalis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
BGC0000490	BGC0000490	Lactococcus garvieae DCC43 contig_1, whole genome shotgun sequence	RiPP-like	RiPPs	Lactococcus garvieae DCC43	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000490.1	BGC0000490.1	Garvicin ML biosynthetic gene cluster	bacteriocin	RiPPs	Lactococcus garvieae DCC43	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000491	BGC0000491	Lactobacillus gasseri gaaB, gaaC, gaaA, gaaD, gaaI, gaaT, gaaE genes, complete cds	RiPP-like	RiPPs	Lactobacillus gasseri	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000491.1	BGC0000491.1	Gassericin A biosynthetic gene cluster	bacteriocin	RiPPs	Lactobacillus gasseri	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000494	BGC0000494	Streptococcus uberis PurH-like protein, possible orphan response regulator, UblA (ublA), UblB (ublB), UblC (ublC), UblD (ublD), and UblE (ublE) genes, complete cds	RiPP-like	RiPPs	Streptococcus uberis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000494.1	BGC0000494.1	Uberolysin biosynthetic gene cluster	bacteriocin	RiPPs	Streptococcus uberis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000495	BGC0000495	Actinoplanes garbadinensis strain ATCC 31049 actagardine biosynthesis gene cluster, partial sequence	lanthipeptide-class-ii	RiPPs	Actinoplanes garbadinensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
BGC0000495.1	BGC0000495.1	Actagardine biosynthetic gene cluster	lantipeptide	RiPPs	Actinoplanes garbadinensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Actinoplanes
BGC0000496	BGC0000496	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	lanthipeptide-class-iii	RiPPs	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000496.1	BGC0000496.1	AmfS biosynthetic gene cluster	lantipeptide	RiPPs	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000497	BGC0000497	Streptococcus ratti two-component lantibiotic gene locus, complete sequence	lanthipeptide-class-ii	RiPPs	Streptococcus ratti	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000497.1	BGC0000497.1	BhtA1 / BhtA2 biosynthetic gene cluster	lantipeptide	RiPPs	Streptococcus ratti	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000498	BGC0000498	Streptococcus equinus strain HJ50 bovicin biosynthesis gene cluster, partial sequence	lanthipeptide-class-ii	RiPPs	Streptococcus equinus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000498.1	BGC0000498.1	Bovicin HJ50 biosynthetic gene cluster	lantipeptide	RiPPs	Streptococcus equinus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000499	BGC0000499	Butyrivibrio fibrisolvens butyrivibriocin OR79 (bvi79) gene, complete cds; and unknown genes	lanthipeptide-class-ii	RiPPs	Butyrivibrio fibrisolvens	Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio
BGC0000499.1	BGC0000499.1	Butyrivibriocin OR79 biosynthetic gene cluster	lantipeptide	RiPPs	Butyrivibrio fibrisolvens	Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
BGC0000500	BGC0000500	Carnobacterium maltaromaticum strain C2 CrnM (crnM), CrnA1 (crnA1), CrnJ (crnJ), CrnT (crnT), CrnP (crnP), CrnA2 (crnA2), and CrnY (crnY) genes, complete cds	lanthipeptide-class-ii	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0000500.1	BGC0000500.1	Carnolysin A1 / carnolysin A2 biosynthetic gene cluster	lantipeptide	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0000501	BGC0000501	Catenulispora acidiphila DSM 44928 chromosome, complete genome	lanthipeptide-class-iii	RiPPs	Catenulispora acidiphila DSM 44928	Bacteria,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora
BGC0000501.1	BGC0000501.1	Catenulipeptin biosynthetic gene cluster	lantipeptide	RiPPs	Catenulispora acidiphila DSM 44928	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Catenulisporineae,Catenulisporaceae,Catenulispora
BGC0000502	BGC0000502	Bacillus cereus strain As1.1846 cerecidin biosynthesis gene cluster, complete sequence	lanthipeptide-class-ii	RiPPs	Bacillus cereus	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
BGC0000502.1	BGC0000502.1	Cerecidin / cerecidin A1 / cerecidin A2 / cerecidin A3 / cerecidin A4 / cerecidin A5 / cerecidin A6 / cerecidin A7 biosynthetic gene cluster	lantipeptide	RiPPs	Bacillus cereus	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
BGC0000503	BGC0000503	Streptomyces cinnamoneus cinnamycin biosynthetic cluster	lanthipeptide-class-ii	RiPPs	Streptomyces cinnamoneus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces cinnamoneus group
BGC0000503.1	BGC0000503.1	Cinnamycin biosynthetic gene cluster	lantipeptide	RiPPs	Streptomyces cinnamoneus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces cinnamoneus group
BGC0000504	BGC0000504	Plasmid pAD1 (from Enterococcus faecalis) cylLl, cylLs, cylM, clyB, cylA genes, complete cds	lanthipeptide-class-ii	RiPPs	Plasmid pAD1	other sequences,plasmids
BGC0000504.1	BGC0000504.1	Cytolysin ClyLl / cytolysin ClyLs biosynthetic gene cluster	lantipeptide	RiPPs	Enterococcus faecalis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
BGC0000506	BGC0000506	Bacillus subtilis subsp. spizizenii DSM:15029 entianin gene cluster, partial sequence	lanthipeptide-class-i	RiPPs	Bacillus spizizenii	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000506.1	BGC0000506.1	Entianin biosynthetic gene cluster	lantipeptide	RiPPs	Bacillus subtilis subsp. spizizenii	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000507	BGC0000507	Staphyloccus epidermidis epicidin 280 gene cluster on pCH01	lanthipeptide-class-i	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000507.1	BGC0000507.1	Epicidin biosynthetic gene cluster	lantipeptide	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcus
BGC0000508	BGC0000508	S.epidermidis genes epiY', epiY, epiA, epiB, epiC, epiD, epiQ, epiP	lanthipeptide-class-i	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000508.1	BGC0000508.1	Epidermin biosynthetic gene cluster	lantipeptide	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcus
BGC0000509	BGC0000509	Staphylococcus epidermidis Orf1, ElxO (elxO), ElxT (elxT), ElxA (elxA), ElxP (elxP), ElxB (elxB), ElxC (elxC), Elx1 (Elx1), Elx2 (elx2), Elx3 (elx3), and OrdA (orfA) genes, complete cds	lanthipeptide-class-i	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000509.1	BGC0000509.1	Epilancin 15X biosynthetic gene cluster	lantipeptide	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcus
BGC0000511	BGC0000511	Bacillus subtilis subtilin-like gene cluster, complete sequence	lanthipeptide-class-i	RiPPs	Bacillus subtilis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000511.1	BGC0000511.1	Ericin A biosynthetic gene cluster	lantipeptide	RiPPs	Bacillus subtilis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000513	BGC0000513	Saccharopolyspora erythraea NRRL2338 complete genome	lanthipeptide-class-iii	RiPPs	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
BGC0000514	BGC0000514	Staphylococcus gallinarum gallidermin gene cluster, complete sequence	lanthipeptide-class-i	RiPPs	Staphylococcus gallinarum	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000514.1	BGC0000514.1	Gallidermin biosynthetic gene cluster	lantipeptide	RiPPs	Staphylococcus gallinarum	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcus
BGC0000515	BGC0000515	Geobacillus thermodenitrificans NG80-2, complete genome	lanthipeptide-class-i	RiPPs	Geobacillus thermodenitrificans NG80-2	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
BGC0000515.1	BGC0000515.1	Geobacillin I biosynthetic gene cluster	lantipeptide	RiPPs	Geobacillus thermodenitrificans NG80-2	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
BGC0000516	BGC0000516	Geobacillus thermodenitrificans strain G11MC16 ctg51, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs	Geobacillus thermodenitrificans	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
BGC0000516.1	BGC0000516.1	Geobacillin II biosynthetic gene cluster	lantipeptide	RiPPs	Geobacillus sp. G11MC16	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
BGC0000517	BGC0000517	Bacillus halodurans C-125 DNA, complete genome	lanthipeptide-class-ii	RiPPs	Halalkalibacterium halodurans C-125	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halalkalibacterium (ex Joshi et al. 2022)
BGC0000517.1	BGC0000517.1	Haloduracin alpha / haloduracin beta biosynthetic gene cluster	lantipeptide	RiPPs	Bacillus halodurans C-125	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000518	BGC0000518	Streptomyces viridochromogenes DSM 40736 genomic scaffold supercont1.1, whole genome shotgun sequence	RiPP-like.lanthipeptide-class-iii	RiPPs	Streptomyces viridochromogenes DSM 40736	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000518.1	BGC0000518.1	Informatipeptin biosynthetic gene cluster	lantipeptide.bacteriocin	RiPPs	Streptomyces viridochromogenes DSM 40736	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000519	BGC0000519	Actinomadura namibiensis labyrinthopeptin biosynthetic gene cluster	lanthipeptide-class-iii	RiPPs	Actinomadura namibiensis	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000519.1	BGC0000519.1	Labyrinthopeptin A1,A3 / labyrinthopeptin A2 biosynthetic gene cluster	lantipeptide	RiPPs	Actinomadura namibiensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangineae,Thermomonosporaceae,Actinomadura
BGC0000520	BGC0000520	Lactococcus lactis strain DPC3147 plasmid pMRC01, complete sequence	lanthipeptide-class-ii	RiPPs	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000520.1	BGC0000520.1	Lacticin 3147 A1 / lacticin 3147 A2 biosynthetic gene cluster	lantipeptide	RiPPs	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000521	BGC0000521	Lactococcus lactis subsp. lactis plasmid pES2 transposon Tn5721 and lacticin 481 operon, complete sequence; and unknown genes	lanthipeptide-class-ii	RiPPs	Lactococcus lactis subsp. lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000521.1	BGC0000521.1	Lacticin 481 biosynthetic gene cluster	lantipeptide	RiPPs	Lactococcus lactis subsp. lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000522	BGC0000522	Lactococcus lactis genes for hypothetical protein, putative transcriptional regulator, lacticin Z, membrane proteins, ABC-2 type transporter, ATP-binding protein, prophage ps1 protein 16 and 15, complete cds, strain: QU 14	RiPP-like	RiPPs	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000522.1	BGC0000522.1	Lacticin Z biosynthetic gene cluster	bacteriocin	RiPPs	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000523	BGC0000523	Lactobacillus sakei ORF78 (partial), ORF116, ORF130 (partial), ORF84 (partial), tnp1519L gene, tnp1516delC gene, tnp1516delN gene (partial), lasY gene, lasX gene, lasA gene, lasM gene, lasN gene, lasT gene, lasU gene, lasV gene, lasP gene, lasJ gene, lasW gene and tnp1519R gene	lanthipeptide-class-ii	RiPPs	Latilactobacillus sakei	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus
BGC0000523.1	BGC0000523.1	Lactocin S biosynthetic gene cluster	lantipeptide	RiPPs	Lactobacillus sakei	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
